iter	Passed	Remaining
0	0	224
1	0	300
2	0	293
3	1	288
4	1	297
5	1	268
6	1	270
7	2	269
8	2	248
9	2	247
10	2	247
11	3	248
12	3	250
13	3	253
14	3	253
15	4	252
16	4	253
17	4	253
18	5	258
19	5	258
20	5	258
21	5	260
22	6	266
23	6	270
24	6	270
25	7	270
26	7	269
27	7	268
28	7	267
29	8	266
30	8	265
31	8	264
32	9	263
33	9	263
34	9	262
35	9	262
36	10	261
37	10	261
38	10	261
39	10	261
40	11	261
41	11	263
42	12	274
43	12	273
44	12	273
45	13	273
46	13	272
47	13	272
48	14	271
49	14	271
50	14	270
51	14	268
52	15	268
53	15	268
54	15	267
55	15	267
56	16	266
57	16	266
58	16	266
59	16	264
60	17	263
61	17	264
62	17	263
63	17	263
64	18	264
65	18	263
66	18	263
67	19	262
68	19	261
69	19	262
70	19	261
71	20	261
72	20	260
73	20	260
74	21	260
75	21	261
76	21	260
77	22	260
78	22	259
79	22	259
80	22	258
81	23	257
82	23	256
83	23	256
84	23	255
85	24	256
86	24	255
87	24	255
88	25	255
89	25	255
90	25	255
91	25	255
92	26	254
93	26	254
94	26	253
95	26	253
96	26	251
97	27	250
98	27	250
99	27	250
100	28	250
101	28	250
102	28	250
103	29	250
104	29	249
105	29	249
106	29	249
107	30	250
108	30	250
109	30	250
110	31	249
111	31	249
112	31	249
113	32	249
114	32	249
115	32	249
116	32	248
117	33	248
118	33	248
119	33	248
120	34	247
121	34	247
122	34	246
123	34	246
124	35	246
125	35	246
126	35	246
127	36	246
128	36	246
129	36	246
130	37	246
131	37	245
132	37	245
133	37	245
134	38	244
135	38	244
136	38	244
137	39	244
138	39	244
139	39	243
140	39	243
141	40	242
142	40	242
143	40	241
144	40	241
145	41	241
146	41	240
147	41	240
148	42	239
149	42	239
150	42	239
151	43	240
152	43	240
153	43	240
154	43	239
155	44	239
156	44	238
157	44	238
158	45	238
159	45	237
160	45	237
161	45	237
162	46	236
163	46	236
164	46	235
165	46	235
166	47	234
167	47	234
168	47	234
169	47	234
170	48	233
171	48	233
172	48	232
173	48	232
174	49	231
175	49	231
176	49	231
177	49	230
178	50	230
179	50	230
180	50	230
181	51	230
182	51	229
183	51	229
184	52	229
185	52	228
186	52	228
187	52	228
188	53	227
189	53	227
190	53	226
191	53	226
192	54	226
193	54	226
194	54	226
195	54	225
196	55	225
